Market,Ticker,Recommendation,Raw Signals,Raw Matched,Raw Avg Edge,Raw Shrink%,Raw Win%,Raw Net EV,Opt Threshold,Opt Signals,Opt Win%,Opt Net EV
xyz:21,TLT,tier2,126229,31763,6.61,85.3%,52.0%,3.27,40,50,100.0%,123.37
xyz:28,SNDK,tier2,205361,73935,5.92,79.6%,43.5%,2.18,35,191,96.3%,62.54
xyz:19,DIS,tier2,286526,170736,8.45,61.8%,22.9%,-5.30,45,143,97.2%,42.84
xyz:8,META,tier2,215264,69653,3.87,83.8%,36.7%,-1.30,25,278,100.0%,40.21
xyz:3,TSLA,tier2,34002,23492,6.47,77.7%,40.7%,0.07,30,293,100.0%,37.63
xyz:12,KO,tier2,142099,57497,5.58,82.9%,40.7%,-0.91,40,69,100.0%,36.95
xyz:1,AMD,tier2,135583,52031,6.07,85.2%,48.4%,0.64,40,220,100.0%,35.68
xyz:24,QQQ,tier2,96776,36849,5.38,82.5%,40.7%,-1.61,35,156,92.3%,34.25
xyz:29,VZ,tier2,43343,19506,4.70,83.9%,38.7%,-0.93,35,208,100.0%,33.89
xyz:0,AAPL,tier2,20508,8921,6.41,91.3%,43.3%,0.87,35,149,100.0%,33.73
xyz:4,GOOGL,tier2,35404,17155,1.70,51.1%,8.0%,-7.89,15,54,100.0%,32.96
xyz:13,INTC,tier2,342247,163199,6.21,71.4%,32.9%,-2.71,35,233,82.8%,25.65
xyz:11,JPM,tier1,26340,6562,6.07,90.5%,60.6%,3.02,25,379,93.9%,24.44
xyz:5,AMZN,tier1,93016,37028,5.66,86.4%,46.7%,-0.02,25,1161,86.3%,24.35
xyz:23,XOM,tier1,39632,13727,4.33,89.7%,45.5%,0.61,25,569,98.2%,23.06
xyz:2,NVDA,tier2,20716,10057,6.36,85.6%,55.4%,1.73,25,105,100.0%,22.03
xyz:17,PFE,tier2,8842,2925,5.57,75.5%,21.6%,-1.86,15,263,93.5%,19.18
xyz:18,NFLX,tier2,194431,89715,4.94,85.7%,44.8%,-0.42,25,164,98.8%,17.95
xyz:22,GLD,tier2,30877,14733,3.34,90.5%,45.5%,0.03,20,79,100.0%,10.72
xyz:16,MSFT,tier1,21528,12416,8.07,87.0%,51.8%,0.98,15,2367,74.2%,7.84
xyz:25,SPY,tier1,78976,29400,7.73,84.1%,52.3%,1.38,10,8373,55.3%,6.47
xyz:20,SLV,exclude,234734,171779,21.05,56.3%,20.1%,-6.44,30,15464,16.4%,-6.24
xyz:26,IWM,exclude,188610,106982,7.00,75.9%,13.8%,-6.40,0,106982,13.8%,-6.40
xyz:6,COPPER,exclude,1578700,334144,5.68,58.7%,2.4%,-9.47,40,1860,5.1%,-8.24
xyz:10,xyz:10,exclude,6484,495,0.29,85.3%,0.0%,-8.58,0,495,0.0%,-8.58
xyz:14,WFC,exclude,69222,519,0.43,95.2%,0.0%,-8.76,0,519,0.0%,-8.76
xyz:31,USO,exclude,93529,10045,9.37,14.9%,1.3%,-9.76,0,10045,1.3%,-9.76
